"Lenovo IdeaPad Gaming 3 15IHU6 Intel Core i5-11320H/16GB/512GB SSD/RTX3050/15.6""",Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,929
"MSI Creator M16 B13VE-682XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16,No,1899.01
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,,15.6,No,829
"HP 15S-fq2158ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",HP,15S,Intel Core i3,8,256,SSD,,15.6,No,449
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Gris Espacial",Apple,MacBook Air,Apple M1,8,256,SSD,,13.3,No,1219
"Lenovo ThinkBook 14 Intel Core i5-1135G7/8GB/256GB SSD/14""",Lenovo,ThinkBook,Intel Core i5,8,256,SSD,,14,No,699
"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6""",Asus,TUF,AMD Ryzen 7,16,1000,SSD,RTX 4060,15.6,No,1349
"MSI Katana 15 B12VGK-094XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4070/15.6""",MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4070,15.6,No,1699
"ASUS M515UA-EJ522W AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",Asus,M515UA,AMD Ryzen 5,8,512,SSD,,15.6,No,699
"HP Victus 16-e0101ns AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3060/16.1""",HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3060,16.1,No,1299.01
"HP 250 G9 Intel Celeron N4500/8 GB/256GB SSD/15.6""",HP,250,Intel Celeron,8,256,SSD,,15.6,No,399
"HP OMEN 16-C0042NS AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050 Ti/16.1""",HP,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1149
"MSI Modern 15 B7M-041XES AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",MSI,Modern,AMD Ryzen 5,16,512,SSD,,15.6,No,839
"HP 255 G9 AMD Athlon 3020e/8GB/512GB SSD/15.6""",HP,255,AMD Athlon,8,512,SSD,,15.6,No,379
"ASUS VivoBook 15 F1500EA-EJ3022 Intel Core i7-1165G7/16GB/512GB SSD/15.6""",Asus,VivoBook,Intel Core i7,16,512,SSD,,15.6,No,809.01
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512 GB SSD/15.6""",Lenovo,V15,Intel Core i5,8,512,SSD,,15.6,No,779
"ASUS VivoBook 15 F1500EA-EJ3023 Intel Core i7-1165G7/8GB/512GB SSD/15.6""",Asus,VivoBook,Intel Core i7,8,512,SSD,,15.6,No,749
"MSI Thin GF63 12VE-009XES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",MSI,Thin,Intel Core i5,16,512,SSD,RTX 4050,15.6,No,1099
"MSI Modern 15 B13M-281XES Intel Core i7-1355U/16GB/1TB SSD/15.6""",MSI,Modern,Intel Core i7,16,1000,SSD,,15.6,No,999
"HP 15S-eq2088ns AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",HP,15S,AMD Ryzen 7,16,512,SSD,,15.6,No,649.01
"MSI Vector GP77 13VG-021XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,2499
"ASUS VivoBook 15 F1500EA-EJ3067W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",Asus,VivoBook,Intel Core i7,8,512,SSD,,15.6,No,859
"MSI Creator M16 B12UDX-809XES Intel Core i7-12650H/32GB/1TB SSD/RTX 3050/16""",MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3050,16,No,1499.01
"Apple Macbook Pro Apple M2/8GB/256GB SSD/GPU Deca Core/13.3"" Plata",Apple,MacBook Pro,Apple M2,8,256,SSD,,13.3,No,1599
"ASUS TUF Gaming A15 2023 FA507XI-LP024 AMD Ryzen 9 7940HS/32GB/512GB SSD/RTX 4070/15.6""",Asus,TUF,AMD Ryzen 9,32,512,SSD,RTX 4070,15.6,No,1699.01
"MSI Katana 15 B13VFK-031XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6""",MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1699
"HP Victus 16-d1021ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16.1""",HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,1199
"MSI Modern 14 C13M-426XES Intel Core i7-1355U/16GB/1TB SSD/14""",MSI,Modern,Intel Core i7,16,1000,SSD,,14,No,999
"MSI Modern 15 B12M-430XES Intel Core i3-1215U/8GB/256GB SSD/15.6""",MSI,Modern,Intel Core i3,8,256,SSD,,15.6,No,499
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,499
"MSI Prestige 14H B12UCX-414XES Intel Core i5-12450H/16GB/512GB SSD/RTX 2050/14""",MSI,Prestige,Intel Core i5,16,512,SSD,RTX 2050,14,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512 GB SSD/15.6""",Lenovo,IdeaPad,Intel Core i7,16,512,SSD,,15.6,No,749
"Lenovo ThinkBook 15 G2 ITL Intel Core i5-1135G7/8 GB/256GB SSD/15.6"" Gris",Lenovo,ThinkBook,Intel Core i5,8,256,SSD,,15.6,No,879
"MSI Prestige 14H B12UCX-413XES Intel Core i7-12650H/16GB/1TB SSD/RTX 2050/14""",MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 2050,14,No,1489
"HP Pavilion 15-eg2004ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",HP,Pavilion,Intel Core i7,16,512,SSD,,15.6,No,999
"HP Victus 15-fa0026ns Intel Core i5-12450H/16GB/512GB SSD/GTX 1650/15.6""",HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8 GB/512GB SSD/15.6""",Lenovo,IdeaPad,Intel Core i5,8,512,SSD,,15.6,No,589
"Lenovo ThinkBook 14 G4 IAP Intel Core i5-1235U/8GB/256GB SSD/14""",Lenovo,ThinkBook,Intel Core i5,8,256,SSD,,14,No,959
"HP Victus 15-fa0004ns Intel Core i5-12500H/16GB/512GB SSD/GTX 1650/15.6""",HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,1039
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8GB/512GBSSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,599
"HP 15S-fq5094ns Intel Core i7-1255U/8GB/512GB SSD/15.6""",HP,15S,Intel Core i7,8,512,SSD,,15.6,No,739.01
"MSI Stealth 16 Studio A13VF-038XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,16,No,2449
