48,dell,Dell G15-5530 GN5530D83M6002ORB1 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),975.48,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
49,msi,MSI Modern 14 C11M-030IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),431.4,intel,core i5,8,SSD,512,intel,integrated,FALSE,14,windows
50,asus,Asus ROG Strix SCAR 16 2023 G634JZ-NM057WS Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),3239.88,intel,core i9,32,SSD,1024,nvidia,dedicated,FALSE,16,windows
51,msi,MSI Thin GF63 12VE-071IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/6GB Graphics),839.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
53,dell,Dell Vostro 3425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11 Home),475.788,amd,ryzen 5,8,SSD,512,amd,integrated,FALSE,14,windows
56,infinix,Infinix INBook Y1 Plus 15 XL28 Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),359.88,intel,core i5,8,SSD,512,intel,integrated,FALSE,15.6,windows
57,acer,Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),395.88,intel,core i3,8,SSD,512,intel,integrated,FALSE,15.6,windows
58,hp,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),1003.08,amd,ryzen 7,16,SSD,512,nvidia,dedicated,FALSE,16.1,windows
59,hp,HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),653.88,amd,ryzen 5,8,SSD,512,nvidia,dedicated,FALSE,15.6,windows
60,hp,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),509.988,amd,ryzen 5,16,SSD,512,amd,integrated,FALSE,15.6,windows
61,infinix,Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),335.88,intel,core i3,8,SSD,512,intel,integrated,FALSE,14,windows
62,hp,HP Omen 16-u0005TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),1775.88,intel,core i7,16,SSD,1024,nvidia,dedicated,FALSE,16.1,windows
63,asus,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),889.02,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,17.3,windows
64,dell,Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),1037.88,intel,core i7,16,SSD,1024,intel,integrated,FALSE,14,windows
65,asus,Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),731.88,intel,core i7,16,SSD,512,intel,integrated,FALSE,15.6,windows
66,lenovo,Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),683.88,amd,ryzen 5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
67,dell,Dell Inspiron 5630 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),869.88,intel,core i5,16,SSD,512,intel,integrated,FALSE,16,windows
68,asus,Asus VivoBook 14 X415EA-EK344WS Notebook (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),431.88,intel,core i3,16,SSD,512,intel,integrated,FALSE,14,windows
69,asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),1307.88,intel,core i7,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
70,asus,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),695.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
71,hp,HP Victus 15-fa0998TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),839.988,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
72,hp,HP Victus 15-fa0666TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),863.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
73,apple,Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),1439.88,apple,m2,8,SSD,256,apple,apple,FALSE,15.3,mac
74,infinix,Infinix INBook Y1 Plus Neo XL30 Laptop (Intel Celeron N5100/ 8GB/ 512GB SSD/ Win 11 Home),323.88,intel,celeron,8,SSD,512,intel,integrated,FALSE,15.6,windows
75,hp,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),934.788,intel,core i5,16,SSD,1024,intel,integrated,TRUE,14,windows
76,primebook,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),179.88,other,other,4,HDD,64,arm,integrated,FALSE,11.6,android
77,dell,Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),600,intel,core i5,8,SSD,512,intel,integrated,FALSE,15.6,windows
78,acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),683.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
79,hp,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),695.88,intel,core i5,8,SSD,512,nvidia,dedicated,FALSE,15.6,windows
80,hp,HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),599.988,amd,ryzen 5,8,SSD,512,nvidia,dedicated,FALSE,16.1,windows
81,asus,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),869.88,intel,core i5,16,SSD,512,intel,integrated,FALSE,14,windows
82,asus,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),836.268,intel,core i5,16,SSD,512,intel,integrated,FALSE,15.6,windows
83,iball,iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10),117.6,intel,other,2,HDD,32,intel,integrated,FALSE,11.6,windows
84,ultimus,Ultimus Lite NU14U3INC54BN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),191.88,intel,celeron,8,SSD,256,intel,integrated,FALSE,14.1,windows
85,dell,Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),1007.88,intel,core i5,16,SSD,1024,nvidia,dedicated,FALSE,15.6,windows
86,asus,Asus VivoBook 14 X1400EA-EK543WS Notebook (11th Gen Core i5/16GB/ 512GB SSD/ Win11 Home),563.88,intel,core i5,16,SSD,512,intel,integrated,FALSE,14,windows
87,hp,HP Pavilion 15-EG2119TU Laptop (12th Gen Core i5/12GB RAM/ 512GB SSD/ Win11),731.88,intel,core i5,12,SSD,512,intel,integrated,FALSE,15.6,windows
88,lenovo,Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),539.88,intel,core i3,8,SSD,512,intel,integrated,FALSE,15.6,windows
89,lenovo,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),419.88,amd,ryzen 3,8,SSD,512,amd,integrated,FALSE,15.6,windows
90,hp,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),803.88,intel,core i5,16,SSD,1024,nvidia,dedicated,FALSE,15.6,windows
91,lenovo,Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home),293.28,amd,other,8,SSD,512,amd,integrated,FALSE,15.6,windows
92,hp,HP Victus 15-fb1002AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),623.88,amd,ryzen 5,8,SSD,512,nvidia,dedicated,FALSE,15.6,windows
93,msi,MSI Thin GF63 11SC-1629IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),659.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
94,ultimus,Ultimus Pro NU14U3INC43BN-CS Laptop (Celeron N4020/ 4GB/ 128GB SSD/ Win11 Home),143.88,intel,celeron,4,SSD,128,intel,integrated,FALSE,14.1,windows
95,lenovo,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),587.88,amd,ryzen 7,8,SSD,512,amd,integrated,FALSE,15.6,windows
96,msi,MSI Katana 15 B13UDXK-1482IN Gaming Laptop (13th Gen Core i5/ 32GB/ 1TB SSD/ Win11 Home/ 6GB Graph),899.88,intel,core i5,32,SSD,1024,nvidia,dedicated,FALSE,15.6,windows
97,msi,MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),599.88,amd,ryzen 5,8,SSD,512,amd,dedicated,FALSE,15.6,windows
98,asus,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),647.88,intel,core i5,16,SSD,512,intel,integrated,FALSE,15.6,windows
99,asus,Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home),980.268,intel,core i9,16,SSD,512,intel,integrated,FALSE,16,windows
100,lenovo,Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),766.668,amd,ryzen 5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
101,lenovo,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),444.48,intel,core i3,8,SSD,512,intel,integrated,FALSE,15.6,windows
102,asus,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),1139.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,16,windows
